order,species,family,locomotion,logmass,mig,hetero,abslat,latitude,diet,hemisphere,habitat_category,habitat_sub,mig.het1,mig.het2
Rodentia,Chaetodipus_hispidus,Heteromyidae,T,1.51,0,1,33.87,33.87,Herbivore,N,Shrubland,TES,2,1
Rodentia,Chaetodipus_intermedius,Heteromyidae,T,1.22,0,1,32.42,32.42,Herbivore,N,Grassland,GTE,2,1
Rodentia,Chaetodipus_penicillatus,Heteromyidae,T,1.18,0,1,32.25,32.25,Herbivore,N,Shrubland,TES,2,1
Afrosoricida,Chrysochloris_asiatica,Chrysochloridae,T,1.69,0,1,32.45,-32.45,Insectivore,S,Forest,TEF,2,1
Rodentia,Cricetulus_migratorius,Muridae,T,1.49,0,1,43.17,43.17,Omnivore,N,Forest,TEF,2,1
Rodentia,Cricetus_cricetus,Muridae,T,2.71,0,1,51.49,51.49,Omnivore,N,Shrubland,TES,2,1
Soricomorpha,Crocidura_fuliginosa,Soricidae,T,1.08,0,1,20.71,20.71,Insectivore,N,Forest,TEF,2,1
Soricomorpha,Crocidura_leucodon,Soricidae,T,0.99,0,1,44.55,44.55,Insectivore,N,Shrubland,TES,2,1
Soricomorpha,Crocidura_russula,Soricidae,T,1,0,1,42.8,42.8,Insectivore,N,Shrubland,TES,2,1
Soricomorpha,Crocidura_suaveolens,Soricidae,T,0.7,0,1,45.05,45.05,Insectivore,N,Shrubland,TES,2,1
Soricomorpha,Crocidura_viaria,Soricidae,T,1.23,0,1,12.61,12.61,Insectivore,N,Forest,TRF,2,1
Rodentia,Cynomys_leucurus,Sciuridae,T,2.96,0,1,41.54,41.54,Herbivore,N,Shrubland,TES,2,1
Rodentia,Cynomys_ludovicianus,Sciuridae,T,3.13,0,1,39.58,39.58,Herbivore,N,Grassland,GTE,2,1
Chiroptera,Cynopterus_brachyotis,Pteropodidae,A,1.5,0,1,11.56,11.56,Frugivore,N,Forest,TRF,2,1
Dasyuromorphia,Dasycercus_cristicauda,Dasyuridae,T,2,0,1,25.87,-25.87,Carnivore,S,Shrubland,TRS,2,1
Chiroptera,Dobsonia_minor,Pteropodidae,A,1.89,0,1,5.32,-5.32,Frugivore,S,Forest,TRF,2,1
Microbiotheria,Dromiciops_gliroides,Microbiotheriidae,T,1.35,0,1,39.59,-39.59,Omnivore,S,Forest,TEF,2,1
Afrosoricida,Echinops_telfairi,Tenrecidae,T,2.26,0,1,22.84,-22.84,Insectivore,S,Forest,TRF,2,1
Macroscelidea,Elephantulus_brachyrhynchus,Macroscelididae,T,1.68,0,1,12.57,-12.57,Insectivore,S,Savanna,GS,2,1
Macroscelidea,Elephantulus_edwardii,Macroscelididae,T,1.68,0,1,32.26,-32.26,Insectivore,S,Forest,TEF,2,1
Macroscelidea,Elephantulus_intufi,Macroscelididae,T,1.69,0,1,22.16,-22.16,Insectivore,S,Shrubland,TRS,2,1
Macroscelidea,Elephantulus_myurus,Macroscelididae,T,1.72,0,1,23.1,-23.1,Insectivore,S,Savanna,GS,2,1
Macroscelidea,Elephantulus_rozeti,Macroscelididae,T,1.68,0,1,32.89,32.89,Insectivore,N,Shrubland,TES,2,1
Macroscelidea,Elephantulus_rufescens,Macroscelididae,T,1.57,0,1,0.27,0.27,Insectivore,N,Savanna,GS,2,1
Rodentia,Eliomys_quercinus,Myoxidae,T,2.06,0,1,48.58,48.58,Omnivore,N,Forest,TEF,2,1
Chiroptera,Eptesicus_fuscus,Vespertilionidae,A,1.22,0,1,38.5,38.5,Insectivore,N,Forest,TEF,2,1
Chiroptera,Eptesicus_serotinus,Vespertilionidae,A,1.36,0,1,41.33,41.33,Insectivore,N,Forest,TEF,2,1
Afrosoricida,Eremitalpa_granti,Chrysochloridae,T,1.42,0,1,28.06,-28.06,Insectivore,S,Shrubland,TRS,2,1
Erinaceomorpha,Erinaceus_concolor,Erinaceidae,T,2.86,0,1,38.38,38.38,Insectivore,N,Forest,TEF,2,1
Erinaceomorpha,Erinaceus_europaeus,Erinaceidae,T,2.89,0,1,46.1,46.1,Insectivore,N,Forest,TEF,2,1
Chiroptera,Eumops_perotis,Molossidae,A,1.71,0,1,7.09,-7.09,Insectivore,S,Forest,TRF,2,1
Afrosoricida,Geogale_aurita,Tenrecidae,T,0.85,0,1,22.79,-22.79,Insectivore,S,Forest,TRF,2,1
Chiroptera,Glossophaga_soricina,Phyllostomidae,A,1,0,1,5.2,-5.2,Herbivore,S,Forest,TRF,2,1
Didelphimorphia,Gracilinanus_microtarsus,Didelphidae,T,1.49,0,1,23.6,-23.6,Insectivore,S,Forest,TRF,2,1
Rodentia,Graphiurus_murinus,Myoxidae,T,1.3,0,1,15.83,-15.83,Omnivore,S,Forest,TRF,2,1
